-47,163398	4,550922
-46,670956	4,503405
-46,173428	4,455398
-45,670655	4,406884
-45,162470	4,357848
-44,648696	4,308272
-44,129147	4,258139
-43,603626	4,207430
-43,071924	4,156125
-42,533822	4,104202
-41,989086	4,051639
-41,437467	3,998412
-40,878702	3,944495
-40,312509	3,889862
-39,738589	3,834483
-39,156621	3,778327
-38,566263	3,721362
-37,967146	3,663551
-37,358876	3,604858
-36,741026	3,545240
-36,113140	3,484653
-35,474719	3,423050
-34,825225	3,360379
-34,164075	3,296583
-33,490629	3,231600
-32,804191	3,165364
-32,103995	3,097800
-31,389201	3,028828
-30,658879	2,958357
-29,911998	2,886289
-29,147410	2,812512
-28,363829	2,736902
-27,559812	2,659320
-26,733726	2,579609
-25,883712	2,497588
-25,007644	2,413054
-24,103070	2,325769
-23,167142	2,235458
-22,196526	2,141799
-21,187286	2,044410
-20,134754	1,942836
-19,033387	1,836531
-17,876701	1,724841
-16,657514	1,607007
-15,369231	1,482232
-14,010243	1,350000
-12,596854	1,211133
-11,195866	1,070830
-9,981646	0,945018
-9,229588	0,862878
-9,008945	0,837057
-9,008945	0,837057	-13,514188	1+104+153=258	51
-8,994015	0,835162	-13,514311	1+106+156=263	52
-8,994015	0,835162	-13,514311	1+106+156=260	52
-8,994015	0,835162	-13,514311	1+106+156=260	52
-8,993952	0,835153	-13,514311	1+108+159=265	53
